word,level
a,2.0
abandon,4.5
abandoned,4.0
ability,3.0
able,6.0
abnormal,5.0
aboard,5.0
abolish,4.0
abortion,5.0
about,1.0
above,2.5
abroad,3.0
abrupt,6.0
abruptly,6.0
absence,4.0
absent,3.0
absolute,4.0
absolutely,3.5
absorb,4.5
abstract,4.0
absurd,4.0
abuse,4.5
abusive,6.0
academic,4.0
accelerate,5.5
accent,3.5
accept,4.0
acceptable,4.0
acceptance,5.0
accepted,5.0
access,3.0
accessible,5.0
accessory,5.0
accident,2.0
accidental,4.0
accidentally,3.0
acclaimed,5.0
accommodations,4.0
accompany,3.0
accomplish,5.0
account,3.5
accountable,6.0
accountant,3.0
accumulate,5.0
accumulation,6.0
accuracy,4.0
accurate,4.0
accurately,4.0
accusation,5.0
accuse,4.0
ache,3.5
achieve,3.0
achievement,3.0
acid,4.0
acknowledge,5.0
acquaintance,5.0
acquire,4.0
acre,6.0
across,2.0
act,3.5
action,5.0
active,3.5
actively,4.0
activity,4.0
actor,2.0
actual,4.0
actually,3.0
ad,1.0
adapt,4.0
adaptation,5.0
add,2.0
addict,4.0
addicted,4.0
addiction,4.0
addictive,5.0
addition,4.0
additional,4.0
address,5.0
adequate,4.0
adequately,4.0
adjacent,6.0
adjective,2.0
adjust,4.0
adjustment,4.0
administration,6.0
administrative,5.0
administrator,5.0
admiration,4.0
admire,3.5
admission,3.5
admit,3.0
admittedly,4.0
adolescent,6.0
adopt,4.0
adopted,4.0
adoption,4.0
adult,2.0
advance,4.0
advanced,2.5
advantage,3.5
adventure,2.0
adventurous,4.0
adverb,2.0
advertise,3.0
advertisement,2.0
advertising,4.0
advice,2.0
advise,3.0
adviser,5.0
advocate,6.0
affair,4.0
affect,4.0
affection,4.0
affectionate,6.0
affluent,5.0
affordable,5.0
afraid,2.5
after,3.0
afternoon,1.0
afterward,2.0
again,1.5
against,2.5
age,4.0
aged,2.0
agency,4.0
agenda,5.5
agent,4.0
ages,3.0
aggression,5.0
aggressive,4.5
aggressively,4.0
ago,2.0
agree,3.5
agreement,4.0
agriculture,4.0
ahead,3.5
aid,5.0
aim,3.0
air,2.0
aircraft,4.0
airline,3.0
airplane,2.0
airport,2.0
alarm,4.0
alarming,5.0
albeit,6.0
album,2.5
alcohol,2.0
alcoholic,6.0
alert,5.0
alike,4.0
alive,6.0
all,2.0
allegation,5.0
allege,6.0
alleged,5.0
allegedly,6.0
alliance,6.0
allied,6.0
allocate,5.0
allocation,6.0
allow,5.0
allowance,5.0
ally,5.5
almost,2.0
alone,4.0
along,3.0
alongside,5.0
aloud,3.0
alphabet,3.0
alphabetical,4.0
already,2.5
also,1.0
alter,4.0
alteration,5.0
alternate,5.0
alternative,4.0
alternatively,4.0
although,3.0
altogether,4.0
aluminum,4.0
always,2.0
am,1.0
amateur,5.0
amazed,3.0
amazement,4.0
amazing,2.5
amazingly,3.0
ambassador,4.0
ambiguity,6.0
ambiguous,6.0
ambition,3.5
ambitious,4.0
ambulance,3.0
amend,6.0
amendment,5.0
amid,5.5
among,4.0
amount,3.0
ample,5.0
amuse,4.0
amused,4.0
amusement,4.0
amusing,3.0
